Title,IMDB ID,Released in Theaters,Release Year,Rating,Rotten Tomatoes,Wikipedia ID
National Treasure,tt0368891,False,2004,PG,10016,699208
National Lampoon's Loaded Weapon 1,tt0107659,False,1993,PG-13,11458,685981
Newness,tt6408226,False,2017,NR,771467562,13984536
One Day,tt1563738,False,2011,PG-13,771206468,28272795
Always Be My Maybe,tt7374948,False,2019,NR,0,0
Eye for an Eye,tt0116260,False,1996,R,13965,2192765
Bonnie and Clyde,tt0061418,False,1967,R,13095,68245
Ip Man,tt1220719,False,2008,R,770801544,17298868
Eat Pray Love,tt0879870,False,2010,PG-13,770857925,24083094
The Waterboy,tt0120484,False,1998,PG-13,10169,340276
Rebel Without a Cause,tt0048545,False,1955,PG-13,11006,76040
The Body Remembers When the World Broke Open,tt8230872,False,2019,NR,0,0
The Imaginarium of Doctor Parnassus,tt1054606,False,2009,PG-13,770683433,11312191
The Guernsey Literary and Potato Peel Pie Society,tt1289403,False,2018,NR,0,0
Anger Management,tt0305224,False,2003,PG-13,13525,23631832
The Duchess,tt0864761,False,2008,PG-13,770680512,12507175
The Flintstones,tt0109813,False,1994,PG,12326,194664
The Karate Kid,tt1155076,False,2010,PG,770813677,23524192
Dumplin',tt4878482,False,2018,NR,0,0
Panic Room,tt0258000,False,2002,R,13778,450141
Seven Pounds,tt0814314,False,2008,PG-13,770767898,15762321
Dr. Seuss' The Cat in the Hat,tt0312528,False,2003,PG,12422,4803480
Class Act,tt0103978,False,1992,PG-13,364510102,1480608
Love & Basketball,tt0199725,False,2000,PG-13,10414,2812023
Hold the Dark,tt5057140,False,2018,NR,0,0
Legion,tt1038686,False,2010,R,770784236,18473521
187,tt0118531,False,1997,R,14212,2273470
47 Meters Down,tt2932536,False,2017,PG-13,771379433,48467897
Nacho Libre,tt0457510,False,2006,PG,155655162,2439396
Along Came a Spider,tt0164334,False,2001,R,13471,10071292
War Machine,tt4758646,False,2017,NR,771420337,47496109
Men in Black II,tt0120912,False,2002,PG-13,10789,673599
Candyman,tt0103919,False,1992,R,15135,1256990
Monty Python's Life of Brian,tt0079470,False,1979,R,12858,17920
A Wrinkle in Time,tt1620680,False,2018,PG,771438676,44173688
Hotel Transylvania 3: Summer Vacation,tt5220122,False,2018,NR,771433813,48446796
The Titan,tt4986098,False,2018,NR,771426685,56672164
Now and Then,tt0114011,False,1995,PG-13,10534,2045991
While We're Young,tt1791682,False,2015,PG-13,771387907,34963562
Only God Forgives,tt1602613,False,2013,R,771303322,34996704
Zack and Miri Make a Porno,tt1007028,False,2008,R,770771542,11639895
Spy Kids,tt0227538,False,2001,PG,10344,11762841
Let's Dance,tt8599746,False,2019,NR,0,0
Someone Great,tt8075260,False,2019,NR,0,0
Anon,tt5397194,False,2018,NR,771437108,49682427
The Cloverfield Paradox,tt2548396,False,2018,NR,771438151,50443206
"Yours, Mine and Ours",tt0443295,False,2005,PG,9365,3145964
Extinction,tt3201640,False,2018,NR,0,0
P.S. I Love You,tt0431308,False,2007,PG-13,559742469,10610533
The Spectacular Now,tt1714206,False,2013,R,771323738,37893814
